Title,ParkType,Bookmark
Annual Park Ranking Report for Tent Campers in: 2016,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Park%20Ranking%20Report%20(1979%20-%20Last%20Calendar%20Year)

ParkName,Rank,Value,PercentOfTotal
Yosemite NP,1,"490,431",12.71%
Joshua Tree NP,2,"232,964",6.04%
Grand Canyon NP,3,"206,626",5.36%
Great Smoky Mountains NP,4,"190,574",4.94%
Acadia NP,5,"152,811",3.96%
Sequoia NP,6,"149,714",3.88%
Zion NP,7,"137,442",3.56%
Glacier NP,8,"136,599",3.54%
Olympic NP,9,"134,871",3.50%
Shenandoah NP,10,"129,594",3.36%
Rocky Mountain NP,11,"120,981",3.14%
Kings Canyon NP,12,"110,490",2.86%
Yellowstone NP,13,"101,639",2.63%
Lake Mead NRA,14,"98,223",2.55%
Death Valley NP,15,"97,443",2.53%
Chickasaw NRA,16,"91,260",2.37%
Blue Ridge PKWY,17,"69,923",1.81%
Big Bend NP,18,"64,593",1.67%
Mount Rainier NP,19,"64,265",1.67%
Sleeping Bear Dunes NL,20,"63,057",1.63%
Lassen Volcanic NP,21,"59,742",1.55%
Ozark NSR,22,"51,696",1.34%
Denali NP & PRES,23,"50,269",1.30%
Lake Roosevelt NRA,24,"45,721",1.19%
Mesa Verde NP,25,"44,925",1.16%
Cape Hatteras NS,26,"41,062",1.06%
Assateague Island NS,27,"40,826",1.06%
Mammoth Cave NP,28,"39,636",1.03%
Bryce Canyon NP,29,"38,192",0.99%
Gulf Islands NS,30,"37,870",0.98%
Buffalo NR,31,"33,756",0.87%
Great Sand Dunes NP & PRES,32,"30,757",0.80%
Arches NP,33,"28,046",0.73%
Great Basin NP,34,"26,743",0.69%
Ross Lake NRA,35,"26,307",0.68%
Prince William Forest Park,36,"22,159",0.57%
Padre Island NS,37,"19,917",0.52%
Capitol Reef NP,38,"19,507",0.51%
Black Canyon of the Gunnison NP,39,"19,070",0.49%
Curecanti NRA,40,"18,312",0.47%
Dinosaur NM,41,"17,207",0.45%
Pictured Rocks NL,42,"16,825",0.44%
Indiana Dunes NL,43,"16,716",0.43%
Colorado NM,44,"16,202",0.42%
Theodore Roosevelt NP,45,"14,835",0.38%
Canyonlands NP,46,"13,513",0.35%
Chaco Culture NHP,47,"13,242",0.34%
Cumberland Island NS,48,"11,839",0.31%
Devils Tower NM,49,"10,850",0.28%
Guadalupe Mountains NP,50,"10,654",0.28%
Greenbelt Park,51,"9,575",0.25%
Everglades NP,52,"8,410",0.22%
Haleakala NP,53,"8,332",0.22%
Lava Beds NM,54,"8,229",0.21%
Badlands NP,55,"7,934",0.21%
Big South Fork NRRA,56,"7,649",0.20%
Organ Pipe Cactus NM,57,"7,188",0.19%
Lake Meredith NRA,58,"6,961",0.18%
Catoctin Mountain Park,59,"6,558",0.17%
Crater Lake NP,60,"6,280",0.16%
Glen Canyon NRA,61,"6,133",0.16%
Chiricahua NM,62,"5,966",0.15%
Dry Tortugas NP,63,"5,934",0.15%
Natchez Trace PKWY,64,"5,907",0.15%
Bandelier NM,65,"5,704",0.15%
Redwood NP,66,"4,979",0.13%
New River Gorge NR,67,"4,596",0.12%
Obed W&SR,68,"4,464",0.12%
Golden Gate NRA,69,"4,337",0.11%
Wind Cave NP,70,"4,093",0.11%
Natural Bridges NM,71,"3,902",0.10%
Chesapeake & Ohio Canal NHP,72,"3,724",0.10%
Hot Springs NP,73,"3,706",0.10%
Gauley River NRA,74,"3,449",0.09%
Craters of the Moon NM,75,"3,349",0.09%
Isle Royale NP,76,"3,160",0.08%
Bighorn Canyon NRA,77,"2,922",0.08%
Big Cypress NPRES,78,"2,762",0.07%
Biscayne NP,79,"2,522",0.07%
Cedar Breaks NM,80,"2,501",0.06%
Klondike Gold Rush NHP Alaska,81,"2,449",0.06%
Cumberland Gap NHP,82,"2,311",0.06%
Katmai NP & PRES,83,"2,098",0.05%
El Morro NM,84,"1,704",0.04%
Hawaii Volcanoes NP,85,"1,697",0.04%
Mojave NPRES,86,"1,654",0.04%
Kenai Fjords NP,87,"1,514",0.04%
Navajo NM,88,"1,483",0.04%
Hovenweep NM,89,"1,184",0.03%
Glacier Bay NP & PRES,90,908,0.02%
Amistad NRA,91,38,0.00%

